"S61","","03N"
"S62","","03L"
"S63","","02P"
"S63","","03L"
"S64","","02X"
"S64","","03L"
"S65","","03L"
"S65","","02X"
"S66","","03L"
"S66","","02X"
"S7","","03N"
"S70","","02P"
"S71","","02P"
"S71","","03R"
"S72","","02P"
"S72","","03R"
"S73","","02P"
"S73","","03L"
"S74","","02P"
"S74","","03L"
"S75","","02P"
"S75","","03R"
"S8","","03N"
"S80","","02Q"
"S80","","03L"
"S81","","02Q"
"S81","","03L"
"S9","","03N"
"S9","","03L"
"S95","","03N"
"S95","","03L"
"S96","","03N"
"S97","","03L"
"S97","","03N"
"S98","","03N"
"S99","","03N"
"SR1","","00P"
"SR2","","00P"
"SR3","","00P"
"SR4","","00P"
"SR43","","00P"
"SR5","","00P"
"SR5","","00N"
"SR6","","00P"
"SR6","","00N"
"SR7","","84H"
"SR7","","00P"
"SR8","","84H"
"SR88","","84H"
"SR9","","00P"
"TD12","","00L"
"TD15","","00L"
"TD5","","00L"
"TD9","","01H"
"TS1","","16C"
"TS10","","16C"
"TS11","","16C"
"TS12","","16C"
"TS13","","16C"
"TS13","","42D"
"TS14","","16C"
"TS15","","42D"
"TS15","","16C"
"TS16","","16C"
"TS17","","16C"
"TS18","","16C"
"TS19","","16C"
"TS2","","16C"
"TS20","","16C"
"TS21","","16C"
"TS21","","84H"
"TS22","","16C"
"TS22","","84H"
"TS23","","16C"
"TS24","","16C"
"TS25","","16C"
"TS26","","16C"
"TS27","","84H"
"TS27","","16C"
"TS28","","84H"
"TS29","","84H"
"TS3","","16C"
"TS4","","16C"
"TS5","","16C"
"TS6","","16C"
"TS7","","16C"
"TS7","","42D"
"TS8","","42D"
"TS8","","16C"
"TS9","","42D"
"TS9","","16C"
"TS9","","03Q"
"TS90","","16C"
"WF1","","03R"
"WF1","","X2C4Y"
"WF10","","03R"
"WF10","","15F"
"WF11","","03R"
"WF11","","03Q"
"WF12","","X2C4Y"
"WF12","","03R"
"WF12","","15F"
"WF13","","X2C4Y"
"WF14","","X2C4Y"
"WF14","","02T"
"WF15","","X2C4Y"
"WF16","","X2C4Y"
"WF17","","X2C4Y"
"WF17","","15F"
"WF2","","03R"
"WF2","","15F"
"WF3","","15F"
"WF3","","X2C4Y"
"WF3","","03R"
"WF4","","03R"
"WF4","","X2C4Y"
"WF4","","02P"
"WF5","","03R"
"WF5","","X2C4Y"
"WF6","","03R"
"WF7","","03R"
"WF8","","03R"
"WF8","","03Q"
"WF8","","02X"
"WF9","","03R"
"WF90","","03R"
"YO1","","03Q"
"YO10","","03Q"
"YO11","","42D"
"YO11","","02Y"
"YO12","","42D"
"YO13","","42D"
"YO14","","42D"
"YO15","","02Y"
"YO16","","02Y"
"YO17","","42D"
"YO17","","03Q"
"YO18","","03Q"
"YO18","","42D"
"YO19","","03Q"
"YO2","","03Q"
"YO2","","42D"
"YO21","","42D"
"YO22","","42D"
"YO23","","03Q"
"YO23","","42D"
"YO24","","03Q"
"YO25","","02Y"
"YO25","","42D"
"YO25","","03Q"
"YO26","","03Q"
"YO26","","42D"
"YO3","","03Q"
"YO30","","03Q"
"YO31","","03Q"
"YO32","","03Q"
"YO4","","03Q"
"YO4","","42D"
"YO4","","02Y"
"YO41","","03Q"
"YO41","","42D"
"YO42","","03Q"
"YO42","","02Y"
"YO43","","02Y"
"YO43","","03Q"
"YO5","","03Q"
"YO5","","42D"
"YO51","","42D"
"YO51","","03Q"
"YO6","","03Q"
"YO6","","42D"
"YO60","","03Q"
"YO60","","42D"
"YO61","","03Q"
"YO61","","42D"
"YO62","","42D"
"YO62","","03Q"
"YO7","","42D"
"YO7","","03Q"
"YO8","","03Q"
"YO8","","02Y"
"YO90","","03Q"
"YO91","","03Q"
"YO95","","03Q"
